Date,Time,Temp,Weather,Wind,Humidity,Visibility,Barometer
2014-12-01,12:00 AM,4,Overcast.,28,0.81,24,101.45
2014-12-01,1:00 AM,3,Mostly cloudy.,22,0.81,24,101.61
2014-12-01,2:00 AM,3,Overcast.,24,0.81,24,101.73
2014-12-01,3:00 AM,2,Overcast.,30,0.75,24,101.89
2014-12-01,4:00 AM,2,Overcast.,24,0.7,24,101.96
2014-12-01,5:00 AM,1,Passing clouds.,22,0.65,24,102.13
2014-12-01,6:00 AM,1,Mostly cloudy.,20,0.65,24,102.23
2014-12-01,7:00 AM,1,Passing clouds.,19,0.65,24,102.32
2014-12-01,8:00 AM,1,Partly sunny.,22,0.6,24,102.5
2014-12-01,9:00 AM,0,Broken clouds.,28,0.6,24,102.63
2014-12-01,10:00 AM,1,Partly sunny.,22,0.56,24,102.71
2014-12-01,11:00 AM,1,Broken clouds.,26,0.56,24,102.76
2014-12-01,12:00 PM,1,Partly sunny.,28,0.51,24,102.81
2014-12-01,1:00 PM,1,Partly sunny.,28,0.51,24,102.81
2014-12-01,2:00 PM,2,Broken clouds.,35,0.41,24,102.9
2014-12-01,3:00 PM,0,Broken clouds.,35,0.51,24,103.04
2014-12-01,4:00 PM,-2,Broken clouds.,32,0.47,24,103.23
2014-12-01,5:00 PM,-3,Scattered showers. Passing clouds.,28,0.64,24,103.38
2014-12-01,6:00 PM,-4,Passing clouds.,39,0.54,24,103.55
2014-12-01,7:00 PM,-4,Passing clouds.,30,0.54,24,103.64
2014-12-01,8:00 PM,-5,Passing clouds.,26,0.54,24,103.74
2014-12-01,9:00 PM,-5,Passing clouds.,24,0.58,24,103.84
2014-12-01,10:00 PM,-6,Passing clouds.,24,0.58,24,103.85
2014-12-01,11:00 PM,-6,Snow flurries. Passing clouds.,17,0.63,19,103.87
2014-12-02,12:00 AM,-6,Snow flurries. Passing clouds.,13,0.68,19,103.88
2014-12-02,12:46 AM,-7,Passing clouds.,19,0.68,24,103.87
2014-12-02,1:00 AM,-7,Passing clouds.,15,0.68,24,103.88
