Date,Time,Temp,Weather,Wind,Humidity,Visibility,Barometer
2014-10-01,12:00 AM,17,Mostly cloudy.,13,0.83,16,101.64
2014-10-01,1:00 AM,16,Drizzle. Fog.,19,0.88,10,101.65
2014-10-01,2:00 AM,16,Overcast.,19,0.83,16,101.71
2014-10-01,3:00 AM,15,Overcast.,17,0.82,19,101.7
2014-10-01,4:00 AM,15,Overcast.,17,0.82,24,101.69
2014-10-01,5:00 AM,15,Overcast.,13,0.82,19,101.72
2014-10-01,6:00 AM,15,Overcast.,11,0.82,19,101.74
2014-10-01,7:00 AM,15,Overcast.,13,0.82,16,101.77
2014-10-01,8:00 AM,15,Fog.,9,0.88,10,101.83
2014-10-01,9:00 AM,15,Drizzle. Fog.,9,0.88,8,101.87
2014-10-01,9:45 AM,15,Fog.,9,0.88,8,101.89
2014-10-01,10:00 AM,15,Fog.,11,0.88,8,101.9
2014-10-01,11:00 AM,15,Drizzle. Fog.,7,0.88,6,101.93
2014-10-01,12:00 PM,15,Drizzle. Fog.,9,0.94,5,101.93
2014-10-01,1:00 PM,15,Drizzle. Fog.,9,0.94,5,101.93
2014-10-01,2:00 PM,15,Drizzle. Fog.,13,0.94,6,101.9
2014-10-01,3:00 PM,15,Drizzle. Fog.,9,0.94,6,101.86
2014-10-01,4:00 PM,15,Drizzle. Fog.,9,0.94,5,101.86
2014-10-01,5:00 PM,15,Drizzle. Fog.,13,0.94,6,101.86
2014-10-01,6:00 PM,15,Drizzle. Fog.,11,0.94,6,101.83
2014-10-01,7:00 PM,15,Drizzle. Fog.,7,0.94,5,101.88
2014-10-01,8:00 PM,16,Overcast.,9,0.88,13,101.89
2014-10-01,9:00 PM,16,Overcast.,9,0.88,13,101.88
2014-10-01,10:00 PM,16,Overcast.,7,0.83,13,101.91
2014-10-01,11:00 PM,16,Overcast.,4,0.88,13,101.93
2014-10-01,11:48 PM,16,Fog.,9,0.88,10,101.95
2014-10-02,12:00 AM,16,Fog.,11,0.88,10,101.95
2014-10-02,1:00 AM,15,Fog.,7,0.94,10,101.91
2014-10-02,2:00 AM,15,Fog.,6,0.94,10,101.92
2014-10-02,3:00 AM,15,Fog.,No,0.94,10,101.93
2014-10-02,4:00 AM,15,Fog.,7,0.94,10,101.87
2014-10-02,5:00 AM,15,Fog.,11,0.94,10,101.87
2014-10-02,6:00 AM,15,Fog.,No,0.94,6,101.91
2014-10-02,7:00 AM,16,Fog.,7,0.88,6,101.88
2014-10-02,8:00 AM,16,Fog.,11,0.88,6,101.89
2014-10-02,9:00 AM,16,Fog.,7,0.88,6,101.95
2014-10-02,10:00 AM,17,Fog.,13,0.83,8,101.94
2014-10-02,11:00 AM,17,Fog.,17,0.88,8,101.91
2014-10-02,12:00 PM,17,Fog.,15,0.88,10,101.86
2014-10-02,1:00 PM,17,Fog.,15,0.83,10,101.86
2014-10-02,2:00 PM,17,Fog.,No,0.88,10,101.85
2014-10-02,3:00 PM,19,Cloudy.,No,0.78,13,101.82
2014-10-02,4:00 PM,20,Broken clouds.,11,0.73,13,101.72
2014-10-02,5:00 PM,18,Partly sunny.,13,0.83,13,101.66
2014-10-02,6:00 PM,18,Fog.,9,0.83,10,101.7
2014-10-02,7:00 PM,16,Fog.,6,0.94,10,101.69
2014-10-02,8:00 PM,16,Fog.,15,0.88,10,101.67
2014-10-02,9:00 PM,15,Fog.,7,0.94,10,101.66
2014-10-02,10:00 PM,15,Partly cloudy.,4,0.94,13,101.61
2014-10-02,11:00 PM,15,Partly cloudy.,No,0.94,13,101.55
2014-10-03,12:00 AM,16,Partly cloudy.,9,0.88,13,101.43
2014-10-03,1:00 AM,17,Passing clouds.,13,0.83,16,101.36
2014-10-03,2:00 AM,16,Partly cloudy.,9,0.88,16,101.33
2014-10-03,3:00 AM,17,Overcast.,11,0.83,16,101.28
2014-10-03,4:00 AM,17,Overcast.,15,0.83,16,101.18
2014-10-03,5:00 AM,17,Overcast.,13,0.83,16,101.09
2014-10-03,6:00 AM,17,Passing clouds.,19,0.83,16,101.02
2014-10-03,7:00 AM,16,Passing clouds.,15,0.88,16,100.96
2014-10-03,8:00 AM,16,Partly cloudy.,17,0.88,19,100.88
2014-10-03,9:00 AM,17,Broken clouds.,22,0.83,19,100.79
2014-10-03,10:00 AM,18,Partly sunny.,24,0.78,24,100.7
2014-10-03,11:00 AM,19,Partly sunny.,22,0.78,19,100.56
2014-10-03,12:00 PM,21,Partly sunny.,20,0.69,19,100.38
2014-10-03,1:00 PM,23,Partly sunny.,24,0.61,19,100.24
2014-10-03,2:00 PM,21,Mostly cloudy.,22,0.69,19,100.16
2014-10-03,3:00 PM,19,Light rain. Overcast.,22,0.88,13,100.17
2014-10-03,4:00 PM,19,Light rain. More clouds than sun.,24,0.88,13,100.11
2014-10-03,5:00 PM,19,Light rain. More clouds than sun.,26,0.88,13,100.04
2014-10-03,5:57 PM,18,Rain. Fog.,15,0.88,6,100.07
2014-10-03,6:00 PM,18,Light rain. Fog.,22,0.88,10,100.07
2014-10-03,7:00 PM,18,Cloudy.,17,0.94,16,100.03
2014-10-03,8:00 PM,18,Light rain. Overcast.,19,0.94,13,99.98
2014-10-03,9:00 PM,17,Sprinkles. Overcast.,17,0.88,24,100.07
2014-10-03,10:00 PM,16,Sprinkles. Mostly cloudy.,17,0.94,24,100.07
2014-10-03,11:00 PM,16,Sprinkles. Mostly cloudy.,7,0.83,24,100.03
2014-10-03,11:47 PM,15,Sprinkles. Mostly cloudy.,7,0.88,24,100
2014-10-04,12:00 AM,15,Sprinkles. Mostly cloudy.,6,0.88,24,99.97
2014-10-04,1:00 AM,15,Sprinkles. Mostly cloudy.,7,0.94,16,99.93
2014-10-04,2:00 AM,14,Sprinkles. Mostly cloudy.,15,0.94,16,99.95
2014-10-04,3:00 AM,13,Sprinkles. Mostly cloudy.,15,0.88,16,99.88
2014-10-04,4:00 AM,13,Sprinkles. Mostly cloudy.,9,0.88,24,99.85
2014-10-04,5:00 AM,13,Partly cloudy.,11,0.88,24,99.9
2014-10-04,6:00 AM,12,Partly cloudy.,13,0.88,24,99.92
2014-10-04,7:00 AM,12,Sprinkles. Mostly cloudy.,22,0.94,19,99.96
2014-10-04,7:51 AM,11,Sprinkles. Mostly cloudy.,35,0.88,19,100.02
2014-10-04,8:00 AM,10,Sprinkles. Partly cloudy.,26,0.88,24,100.02
2014-10-04,9:00 AM,11,Partly sunny.,26,0.77,24,100.08
2014-10-04,10:00 AM,12,Partly sunny.,28,0.72,24,100.04
2014-10-04,11:00 AM,11,Partly sunny.,22,0.72,24,100.06
2014-10-04,12:00 PM,13,Broken clouds.,30,0.59,24,100.07
2014-10-04,1:00 PM,12,Sprinkles. Partly sunny.,22,0.67,24,100.1
2014-10-04,2:00 PM,12,Scattered showers. Broken clouds.,35,0.58,24,100.12
2014-10-04,3:00 PM,12,Broken clouds.,26,0.63,24,100.13
2014-10-04,4:00 PM,11,Broken clouds.,22,0.58,24,100.15
2014-10-04,5:00 PM,11,Broken clouds.,24,0.5,24,100.16
2014-10-04,6:00 PM,10,Broken clouds.,22,0.58,24,100.25
2014-10-04,7:00 PM,8,Scattered clouds.,20,0.66,24,100.31
2014-10-04,8:00 PM,7,Passing clouds.,19,0.66,24,100.36
2014-10-04,9:00 PM,7,Passing clouds.,37,0.71,24,100.42
2014-10-04,10:00 PM,5,Passing clouds.,13,0.81,24,100.43
2014-10-04,11:00 PM,6,Passing clouds.,15,0.76,24,100.44
2014-10-05,12:00 AM,5,Clear.,15,0.81,24,100.39
2014-10-05,1:00 AM,5,Clear.,15,0.81,24,100.39
2014-10-05,2:00 AM,5,Passing clouds.,15,0.81,24,100.39
2014-10-05,3:00 AM,4,Passing clouds.,7,0.81,24,100.36
2014-10-05,4:00 AM,4,Passing clouds.,11,0.81,24,100.37
2014-10-05,5:00 AM,4,Passing clouds.,13,0.81,24,100.4
2014-10-05,6:00 AM,3,Passing clouds.,11,0.87,24,100.42
2014-10-05,7:00 AM,4,Passing clouds.,11,0.87,24,100.48
2014-10-05,8:00 AM,4,Passing clouds.,7,0.87,24,100.5
2014-10-05,9:00 AM,7,Scattered clouds.,15,0.81,24,100.56
2014-10-05,10:00 AM,9,Broken clouds.,22,0.76,24,100.59
2014-10-05,11:00 AM,11,Broken clouds.,26,0.67,24,100.62
2014-10-05,12:00 PM,12,Broken clouds.,30,0.63,24,100.62
2014-10-05,1:00 PM,12,Broken clouds.,26,0.58,24,100.63
2014-10-05,2:00 PM,12,Partly sunny.,24,0.58,24,100.61
2014-10-05,3:00 PM,12,Broken clouds.,24,0.54,24,100.62
2014-10-05,4:00 PM,12,Partly sunny.,30,0.51,24,100.64
